Reason,Suicide
Failure,1
Being Broke ,1
Hard situations ,1
Stress,1
Depression ,1
Failure ,1
When the seat of the person's heart has been taken over by the devil. ,1
"Financial difficulties, loss of a loved one",1
Feelings of depression caused by ugly situations of life,1
"Hidden Depression, feeling like dying is a better than living due to a situation.",1
Depression at the very least ,1
"Probably reasons like loneliness, serious depression, frustration...etc",1
Constant failed love ,1
Hardship,1
Depression,1
"Depression,failed relationships,",1
"Loss of a loved one, unemployment, relationship problems",1
Depression. Hopelessness. A way out of what one feels is deep trouble and one can't face the world.,1
Depression,1
"Neglet, much worrysome and deoression",1
Sadness,1
Feeling of hopelessness ,1
Depression... ,1
"Family problems, poverty, lack of contentment, laziness, impatience ",1
Depression,1
"Depression cause by so many reasons. It could be someone cheated on by a spouse,  getting fired from your job with so much responsibilities on your neck,  losing someone you can't live without, etc. Bottom line, Depression can sometimes lead to suicidal thoughts ",1
Depression ,1
"Depression, lack of self confidence, feeling of failure, fear",1
"Depression,  failure",1
Loss of loved one ,1
Giving up,1
"Lack of value for life (a gift) which is senselessness. Although again, depression is believed to be one strong reason. Another I've heard of is that it could run in the family.",1
When they feel all hope is lost and life is meaningless,1
Someone can commit suicide because of no hope of survival ,1
"Personally I think slander may cause suicide, now it depends on the situation or the state of the victim. If the victim is too emotional such that little things can easily trigger or causes distress or unhappiness. Like an emotional disorder in my research it has really causes high rate of suicide. Check country like india that have high rate of suicide. Slander for example on getting to know some one so close says something false about the victim which often is a grave act can really do damage to the persons reputation. I really don't have much cause on a personal level cause have not encounter it.",1
Depression ,1
Mental problems,1
Depressing i guess,1
Depression,1
Depression and not really having the right people around,1
"Not able to meet up with family needs, debts and the fear of watching his family suffer",1
Poverty,1
Overthinking,1
Fustrations,1
Being broke ,1
Not being heard when In need,1
Depression,1
I have tried to understand why someone can take his/her life and have not come to any understanding,1
Poverty and frustration,1
Rape,1
Failure,1
Work stress. Overworking ,1
Depression is the main factor for me ,1
"Criticism, Disappointment, Failure, Embarrassment, Public victim etc",1
Unable to make ends meet as a result of loss of employment,1
Feeling of being a complete failure and disappointment to their loved ones. ,1
Lack of money. Lack of love,1
Mental health issues.,1
Not meeting up with flow of life,1
Depression ,1
Depression,1
Loneliness and huge debt,1
Out of sheer stupidity ,1
"A realisation that even if a current state of depression passes, another wil surely come. A realisation that pain and struggle last forever",1
Depression and excess pride.,1
"Depression,due to disappointment",1
Depression,1
Depression/non achievement/ not fulfilled,1
Emotional turmoil ,1
They hate life.,1
Depression ,1
Depression,1
Low self esteem and self worth. Ungratefulness,1
unhealthy comparison,1
When the person feel unloved and when he /she feels his life is not working as planned,1
Depression ,1
Societal pressure,1
"Depression, Stress, feeling left out",1
Depression ,1
Unemployment,1
Loneliness,1
Stupidity ,1
Problems & hardship ,1
Economic hardship ,1
Believe or stress,1
Depression ,1
Depression ,1
"depression, anger, incompetence.",1
poverty ,1
Depression,1
Feeling suffocated,1
Lost of hope  of life ,1
Depression; unbearable emotional or physical pain,1
Pressure from peers/parents /school/SOCIAL MEDIA,1
Feeling rejected and dejected,1
No reason is enough to me,1
Depression ,1
depression ,1
When isolated by love once could lead to depression and depression Could lead to suicide ,1
Constant failures ,1
Depression and bullying ,1
Depression ,1
Loneliness,1
Overwhelming life's problems which difile solution,1
Depression ,1
Depression and dissapointments,1
The feeling of despair,1
Depression and worries of life.,1
Emotional crisis,1
Emotional crisis;depression,1
Financial crisis,1
Feeling neglected or abandoned,1
depression,1
Death,0
Not being broke ,0
Because I know I will certainly die one day so make I no rush am ðŸ˜Ž,0
My loved ones ,0
Jesus,0
That I still have something to do,0
My purpose and assignment in life ,0
"The fact that I still have a lot I want to accomplish in my life, a lot I want to experience and a lot of places I want to see. ",0
God's grace and success,0
My family. I strive to make them better than I met them. ,0
Life itself,0
My family,0
God ,0
I have purpose ,0
Cause I love myself and money,0
When there is life there is hope,0
My future I guess,0
" I want to see the plans of God unfold in my life,my family, my friends, the church and Nigeria.Sometimes it might not seem like it, but I am on a beautiful journey.",0
I just love life,0
Good expectations and hoping in God.,0
My mother's happiness ,0
The mystery of tomorrow ,0
Family,0
"Hope, Better days ahead, God's grace ",0
"Life itself,we rise by falling",0
"I have so many lives to help.  Not being able to help thoes in need right is somewhat painful. So  i am working so hard to attain the heights that is required to do whats needs to be done. I mean,  you can't save someone if you haven't saved your self yet. In conclusion, i want to keep on living so i can achieve my dreams and help thoes i feel responsible for, and that's my family and the world and i promise not to let any such thing as adversities stop me. ",0
I motivate myself ,0
My mother,0
"My dreams, my family. ",0
My dreams,0
Those around family and friends,0
"The fact that life is a gift. I'm not willing to throw such a gift away. In death, there's literally no hope, all things (existing or to come) come to an end, but only the living has hope. ",0
"Making myself,my family and friends proud....seeing them happy",0
God and Destiny,0
